LapNumber,LapDistance,CarVelocity,DRS,Corner,CornerSpeed,CornerPhase,Straight,FrontRideHeight,RearRideHeight,CarBalance,TimeToCarAhead,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR
25,203.5928071,0.737141835,Off,-,-,-,T3 - T4,15.08841659,21.01822133,0.00002015,3.234541655,26.64463482,21.73949471,21.63342624,28.33250456
25,204.909504,0.740967296,Off,-,-,-,T3 - T4,15.00436211,19.84116582,-0.000011725,3.23435092,26.58454667,20.20335436,20.7672588,27.57455869
25,206.2280683,0.746305431,Off,-,-,-,T3 - T4,15.19616359,21.29426943,-2.48E-06,3.234315634,26.60711196,19.81955186,20.30288185,27.16703824
25,207.5573594,0.74734547,Off,-,-,-,T3 - T4,14.48789582,22.32298524,1.92E-06,3.234320402,25.84976732,19.58395345,19.96320808,26.86843497
25,208.8740562,0.750654519,Off,-,-,-,T3 - T4,13.24116293,20.09724617,2.78E-07,3.234786749,25.48674605,19.46684628,18.82240616,25.86234363
25,210.2033473,0.751840044,Off,-,-,-,T3 - T4,13.0232654,19.55212012,-3.08E-07,3.23438859,25.27162546,19.4561986,18.78868884,25.83253173
25,211.5452325,0.754370894,Off,-,-,-,T3 - T4,14.08258407,21.18101848,-2.65E-08,3.233473539,24.78477255,18.40501855,18.65196372,25.71159828
25,212.8745236,0.757592773,Off,-,-,-,T3 - T4,13.86090259,21.61541701,4.83E-08,3.231796741,24.09304483,18.39912909,17.93521593,25.07644997
25,214.2145413,0.761534535,Off,-,-,-,T3 - T4,12.24535341,18.50344877,1.56E-09,3.231777191,23.72974498,17.81760357,17.22937318,24.44900988
25,215.5564265,0.761483598,Off,-,-,-,T3 - T4,12.08897526,18.05317125,-7.45E-09,3.229827404,23.22206267,17.84930268,17.12555706,24.35656072
25,216.9090385,0.76256725,Off,-,-,-,T3 - T4,12.34392358,17.92605332,1.50E-10,3.227927923,23.10756609,18.1141977,16.33188673,23.64838757
25,218.2490562,0.764727228,Off,-,-,-,T3 - T4,13.27405354,19.62501206,1.13E-09,3.227802753,23.56078928,18.43386204,16.42788339,23.73417538
25,219.6016682,0.76725819,Off,-,-,-,T3 - T4,13.43667111,20.40432483,-8.15E-11,3.227615356,24.19808245,18.36325016,16.51371721,23.81085024
25,220.9542801,0.768625488,Off,-,-,-,T3 - T4,12.30464798,19.30995202,-1.69E-10,3.225458145,22.2929897,17.14309238,15.59426427,22.98798712
25,222.3068921,0.770334584,Off,-,-,-,T3 - T4,11.05073522,16.31132301,2.12E-11,3.222000837,22.26035763,17.11236881,15.24890488,22.67803772
25,223.6720982,0.771025502,Off,-,-,-,T3 - T4,12.31324126,18.24287546,2.46E-11,3.221261263,21.96180882,16.93254315,15.24700497,22.67633129
25,225.0354368,0.774210871,Off,-,-,-,T3 - T4,12.27670366,18.6251182,-4.50E-12,3.218314171,21.72486333,16.31699004,15.05309452,22.50209172
25,226.3880488,0.77548362,Off,-,-,-,T3 - T4,11.73712293,18.48613435,-3.53E-12,3.206700563,21.69410665,15.45134272,14.45429643,21.96308297
